Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates
24171,5/8/10 19:15,Saturday,Auto,Pedestrian,,Hampshire St,Clark St," Hampshire St & Clark St Cambridge, MA",42.36748,-71.093228,
24172,5/8/10 13:15,Saturday,Auto,Pedestrian,,Cambridge St,PRESCOTT ST," Cambridge St & PRESCOTT ST Cambridge, MA",42.375355,-71.113415,
24244,5/25/10 7:25,Tuesday,Auto,Pedestrian,,HARVARD ST,Boardman Pl," HARVARD ST & Boardman Pl Cambridge, MA",42.366646,-71.096859,
24273,6/1/10 14:15,Tuesday,Auto,Pedestrian,147,ELM ST,Hampshire St,"147 ELM ST Cambridge, MA",42.370467,-71.096968,
24325,6/10/10 7:50,Thursday,Auto,Pedestrian,,Cambridge St,Windsor St," Cambridge St & Windsor St Cambridge, MA",42.37275,-71.093288,
24356,6/17/10 14:00,Thursday,Auto,Pedestrian,5,Third St,,"5 Third St Cambridge, MA",42.372262,-71.079743,
24384,6/24/10 21:49,Thursday,Auto,Pedestrian,,Albany St,PACIFIC ST," Albany St & PACIFIC ST Cambridge, MA",42.358977,-71.100134,
24394,6/29/10 7:50,Tuesday,Auto,Pedestrian,,Cambridge St,QUINCY ST," Cambridge St & QUINCY ST Cambridge, MA",42.375474,-71.114321,
24405,7/1/10 15:40,Thursday,Auto,Pedestrian,30,JFK St,,"30 JFK St Cambridge, MA",42.372808,-71.11981,
24407,7/1/10 14:39,Thursday,Auto,Pedestrian,,Massachusetts Ave,ESSEX ST," Massachusetts Ave & ESSEX ST Cambridge, MA",42.36508,-71.10318,
24467,7/14/10 7:27,,Auto,Pedestrian,,PROSPECT ST,Broadway," PROSPECT ST & Broadway Cambridge, MA",42.369317,-71.101021,
24501,7/20/10 9:45,Tuesday,Auto,Pedestrian,77,Massachusetts Ave,Vassar St,"77 Massachusetts Ave Cambridge, MA",42.359128,-71.093339,
24539,7/29/10 14:45,Thursday,Auto,Pedestrian,,Broadway,PROSPECT ST," Broadway & PROSPECT ST Cambridge, MA",42.369317,-71.101021,
24579,8/7/10 0:46,Saturday,Taxi,Pedestrian,,Brookline St,Massachusetts Ave," Brookline St & Massachusetts Ave Cambridge, MA",42.364014,-71.10139,
24596,8/11/10 19:03,Wednesday,Auto,Pedestrian,,Cambridge St,LAMBERT ST," Cambridge St & LAMBERT ST Cambridge, MA",42.371947,-71.087073,
24618,8/15/10 15:00,Sunday,Auto,Pedestrian,,Cambridge St,Columbia St," Cambridge St & Columbia St Cambridge, MA",42.372912,-71.094512,
24663,8/23/10 14:19,Monday,Auto,Pedestrian,,Cameron Ave,Massachusetts Ave," Cameron Ave & Massachusetts Ave Cambridge, MA",42.397409,-71.130287,
24651,8/24/10 14:00,Tuesday,Auto,Pedestrian,,Cambridge St,Dana St," Cambridge St & Dana St Cambridge, MA",42.374529,-71.107034,
24772,9/4/10 7:40,Saturday,Auto,Pedestrian,,Cambridge St,Warren St," Cambridge St & Warren St Cambridge, MA",42.372102,-71.088276,
24725,9/6/10 13:44,Monday,Auto,Pedestrian,20,University Rd,,"20 University Rd Cambridge, MA",42.372339,-71.123731,
24726,9/6/10 18:24,Monday,Auto,Pedestrian,1193,Cambridge St,,"1193 Cambridge St Cambridge, MA",42.373355,-71.097192,
24744,9/11/10 1:47,Saturday,Auto,Pedestrian,9,Linden St,,"9 Linden St Cambridge, MA",42.372365,-71.117433,
24755,9/13/10 19:11,Monday,Auto,Pedestrian,55,Broadway,,"55 Broadway Cambridge, MA",42.363846,-71.085722,
