Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates
26636,10/13/11 11:04,Thursday,Auto,Pedestrian,,Massachusetts Ave,Upland Rd," Massachusetts Ave & Upland Rd Cambridge, MA",42.388173,-71.119415,
26647,10/17/11 15:59,Monday,Auto,Pedestrian,,Norfolk St,Bishop Allen Dr," Norfolk St & Bishop Allen Dr Cambridge, MA",42.365231,-71.101285,
26654,10/18/11 18:33,Tuesday,Auto,Pedestrian,,Massachusetts Ave,Churchill Ave," Massachusetts Ave & Churchill Ave Cambridge, MA",42.399821,-71.133489,
26658,10/19/11 20:07,Wednesday,Auto,Pedestrian,,Massachusetts Ave,Western Ave," Massachusetts Ave & Western Ave Cambridge, MA",42.365574,-71.103991,
26666,10/20/11 14:45,Thursday,Auto,Pedestrian,,Windsor St,Cambridge St," Windsor St & Cambridge St Cambridge, MA",42.37275,-71.093288,
26670,10/20/11 15:00,Thursday,Auto,Pedestrian,640,Concord Ave,,"640 Concord Ave Cambridge, MA",42.389121,-71.148189,
26711,10/27/11 20:19,Thursday,Auto,Pedestrian,,MAIN ST,Broadway," MAIN ST & Broadway Cambridge, MA",42.362071,-71.082667,
26716,10/28/11 6:34,Friday,Auto,Pedestrian,,Belmont St,ERICSSON ST," Belmont St & ERICSSON ST Cambridge, MA",42.375191,-71.154785,
26723,10/29/11 12:20,Saturday,Auto,Pedestrian,49,White St,,"49 White St Cambridge, MA",42.389703,-71.118304,
26725,10/29/11 18:01,Saturday,Auto,Pedestrian,660,Cambridge St,,"660 Cambridge St Cambridge, MA",42.371918,-71.087614,
26728,10/30/11 12:45,Sunday,Auto,Pedestrian,,PROSPECT ST,Bishop Allen Dr," PROSPECT ST & Bishop Allen Dr Cambridge, MA",42.366343,-71.10316,
26735,11/2/11 13:09,Wednesday,Auto,Pedestrian,,Trowbridge St,Cambridge St," Trowbridge St & Cambridge St Cambridge, MA",42.374918,-71.11006,
26765,11/4/11 17:29,Friday,Auto,Pedestrian,,ELIOT ST,MOUNT AUBURN ST," ELIOT ST & MOUNT AUBURN ST Cambridge, MA",42.372869,-71.1214,
26820,11/9/11 20:19,Wednesday,Auto,Pedestrian,,MOUNT AUBURN ST,Coolidge Ave," MOUNT AUBURN ST & Coolidge Ave Cambridge, MA",42.37494,-71.139721,
26885,11/9/11 20:10,,Auto,Pedestrian,,Massachusetts Ave,Linden St," Massachusetts Ave & Linden St Cambridge, MA",42.372887,-71.117119,
26788,11/12/11 11:15,Saturday,Auto,Pedestrian,,Cambridge St,ELM ST," Cambridge St & ELM ST Cambridge, MA",42.373017,-71.095346,
26815,11/16/11 18:30,Wednesday,Auto,Pedestrian,340,River St,,"340 River St Cambridge, MA",42.361142,-71.114151,
26832,11/19/11 11:29,Saturday,Auto,Pedestrian,,Cambridge St,Columbia St," Cambridge St & Columbia St Cambridge, MA",42.372912,-71.094512,
26842,11/23/11 7:15,Wednesday,Auto,Pedestrian,,Hampshire St,PROSPECT ST," Hampshire St & PROSPECT ST Cambridge, MA",42.372202,-71.098975,
26869,11/30/11 10:25,Wednesday,Auto,Pedestrian,860,Massachusetts Ave,,"860 Massachusetts Ave Cambridge, MA",42.367482,-71.107324,
26879,12/2/11 12:45,Friday,Auto,Pedestrian,,MAIN ST,Portland St," MAIN ST & Portland St Cambridge, MA",42.362974,-71.093634,
26883,12/3/11 21:34,Saturday,MBTA Bus,Pedestrian,,Cambridge St,Warren St," Cambridge St & Warren St Cambridge, MA",42.372102,-71.088276,
26899,12/7/11 20:30,Wednesday,Auto,Pedestrian,96,Concord Ave,,"96 Concord Ave Cambridge, MA",42.381294,-71.129389,
26900,12/7/11 17:25,Wednesday,Auto,Pedestrian,,Second St,Binney St," Second St & Binney St Cambridge, MA",42.365354,-71.079863,
26901,12/7/11 18:27,Wednesday,Auto,Pedestrian,,Putnam Ave,PLEASANT ST," Putnam Ave & PLEASANT ST Cambridge, MA",42.360131,-71.112777,
26902,12/7/11 17:19,Wednesday,Auto,Pedestrian,,Franklin St,Blanche St," Franklin St & Blanche St Cambridge, MA",42.361555,-71.100224,
26910,12/9/11 14:00,Friday,Auto,Pedestrian,2254,Massachusetts Ave,,"2254 Massachusetts Ave Cambridge, MA",42.394062,-71.127055,
26927,12/14/11 12:00,Wednesday,Auto,Pedestrian,4,EXETER PARK,,"4 EXETER PARK Cambridge, MA",42.3847,-71.118585,
26938,12/15/11 19:30,,Auto,Pedestrian,,MAIN ST,Ames St," MAIN ST & Ames St Cambridge, MA",42.362579,-71.088165,
26956,12/20/11 12:14,,Auto,Pedestrian,,MOUNT AUBURN ST,DUNSTER ST," MOUNT AUBURN ST & DUNSTER ST Cambridge, MA",42.372252,-71.119339,
26962,12/20/11 15:30,Tuesday,Auto,Pedestrian,,Massachusetts Ave,HARVARD YARD," Massachusetts Ave & HARVARD YARD Cambridge, MA",42.374384,-71.118788,
26984,12/27/11 21:00,Tuesday,Auto,Pedestrian,,Massachusetts Ave,Landsdowne St," Massachusetts Ave & Landsdowne St Cambridge, MA",42.361746,-71.097556,
27110,12/28/11 16:35,,Auto,Pedestrian,,Massachusetts Ave,Vassar St," Massachusetts Ave & Vassar St Cambridge, MA",42.360154,-71.094882,
30236,1/6/12 16:50,Friday,Auto,Pedestrian,355,Binney St,,"355 Binney St Cambridge, MA",42.367297,-71.089677,
30321,1/25/12 18:04,Wednesday,Auto,Pedestrian,842,Massachusetts Ave,,"842 Massachusetts Ave Cambridge, MA",42.367296,-71.107019,
30384,2/9/12 20:06,Thursday,Auto,Pedestrian,1,Broadway,Third St,"1 Broadway Cambridge, MA",42.36273,-71.084014,
30332,1/29/12 18:14,Sunday,MBTA Bus,Pedestrian,,Massachusetts Ave,PEARL ST," Massachusetts Ave & PEARL ST Cambridge, MA",42.36471,-71.102567,
30334,1/30/12 12:04,Monday,Auto,Pedestrian,,Cambridge St,Columbia St," Cambridge St & Columbia St Cambridge, MA",42.372912,-71.094512,
30348,2/2/12 15:45,Thursday,Auto,Pedestrian,,Hampshire St,Portland St," Hampshire St & Portland St Cambridge, MA",42.366295,-71.091782,
30357,2/3/12 15:34,Friday,Auto,Pedestrian,,Massachusetts Ave,Vassar St," Massachusetts Ave & Vassar St Cambridge, MA",42.360154,-71.094882,
30363,2/4/12 18:40,Saturday,Auto,Pedestrian,189,Cambridge St,,"189 Cambridge St Cambridge, MA",42.371015,-71.079067,
30396,2/13/12 20:13,Monday,Auto,Pedestrian,,Cambridge St,FIRST ST," Cambridge St & FIRST ST Cambridge, MA",42.370636,-71.076934,
30403,2/15/12 16:25,Wednesday,Auto,Pedestrian,151,Washington Ave,,"151 Washington Ave Cambridge, MA",42.364781,-71.095639,
30408,2/16/12 11:15,Thursday,Auto,Pedestrian,,Cambridge St,Windsor St," Cambridge St & Windsor St Cambridge, MA",42.37275,-71.093288,
30413,2/17/12 15:53,Friday,Auto,Pedestrian,13,Tremont St,,"13 Tremont St Cambridge, MA",42.369516,-71.099659,
30605,2/18/12 8:42,,Auto,Pedestrian,,MOUNT AUBURN ST,Sparks St," MOUNT AUBURN ST & Sparks St Cambridge, MA",42.3747,-71.130587,
30797,2/18/12 8:42,Saturday,Auto,Pedestrian,,MOUNT AUBURN ST,Sparks St," MOUNT AUBURN ST & Sparks St Cambridge, MA",42.3747,-71.130587,
30421,2/19/12 13:14,Sunday,Auto,Pedestrian,,Massachusetts Ave,Trowbridge St," Massachusetts Ave & Trowbridge St Cambridge, MA",42.370095,-71.112929,
30428,2/22/12 19:30,Wednesday,Auto,Pedestrian,,Cambridge St,ELLERY ST," Cambridge St & ELLERY ST Cambridge, MA",42.374698,-71.108336,
30435,2/23/12 9:02,Thursday,Auto,Pedestrian,125,Vassar St,,"125 Vassar St Cambridge, MA",42.359251,-71.096935,
30443,2/24/12 19:09,Friday,Auto,Pedestrian,615,Concord Ave,,"615 Concord Ave Cambridge, MA",42.389046,-71.14482,
30511,3/16/12 16:47,Friday,Auto,Pedestrian,,GREEN ST,Sidney St," GREEN ST & Sidney St Cambridge, MA",42.362384,-71.100192,
30526,3/20/12 9:14,Tuesday,Auto,Pedestrian,,Bow St,Massachusetts Ave," Bow St & Massachusetts Ave Cambridge, MA",42.372211,-71.115587,
30562,3/21/12 14:35,Wednesday,Auto,Pedestrian,2254,Massachusetts Ave,,"2254 Massachusetts Ave Cambridge, MA",42.394062,-71.127055,
30533,3/22/12 0:00,Thursday,Auto,Pedestrian,,Third St,Rogers St," Third St & Rogers St Cambridge, MA",42.366388,-71.082001,
30553,3/27/12 16:50,Tuesday,Bus (Other),Pedestrian,,Massachusetts Ave,PEARL ST," Massachusetts Ave & PEARL ST Cambridge, MA",42.36471,-71.102567,
30554,3/27/12 18:10,Tuesday,Auto,Pedestrian,,MAIN ST,Broadway," MAIN ST & Broadway Cambridge, MA",42.362071,-71.082667,
30577,4/3/12 13:40,Tuesday,Auto,Pedestrian,,Brookline St,Chestnut St," Brookline St & Chestnut St Cambridge, MA",42.356638,-71.108802,
30595,4/5/12 20:03,Thursday,Auto,Pedestrian,,New St,Fresh Pond Ln," New St & Fresh Pond Ln Cambridge, MA",42.386721,-71.14101,
30650,4/7/12 19:15,Saturday,Taxi,Pedestrian,,Brookline St,Franklin St," Brookline St & Franklin St Cambridge, MA",42.362868,-71.102435,
30625,4/8/12 2:19,,Auto,Pedestrian,625,Massachusetts Ave,,"625 Massachusetts Ave Cambridge, MA",42.365455,-71.103484,
30661,4/10/12 15:10,Tuesday,Auto,Pedestrian,,Cambridge St,Second St," Cambridge St & Second St Cambridge, MA",42.370859,-71.078595,
30631,4/20/12 12:11,Friday,Auto,Pedestrian,628,Massachusetts Ave,,"628 Massachusetts Ave Cambridge, MA",42.365153,-71.103629,
30632,4/20/12 12:45,Friday,Auto,Pedestrian,,Massachusetts Ave,Creighton St," Massachusetts Ave & Creighton St Cambridge, MA",42.390922,-71.122263,
30662,4/20/12 7:15,Friday,Auto,Pedestrian,,Brattle St,FAYERWEATHER ST," Brattle St & FAYERWEATHER ST Cambridge, MA",42.376817,-71.137308,
30636,4/21/12 0:42,Saturday,Auto,Pedestrian,,Wendell St,OXFORD AVE," Wendell St & OXFORD AVE Cambridge, MA",42.381565,-71.116347,
30647,4/23/12 18:59,Monday,Auto,Pedestrian,85`,Putnam Ave,,"85` Putnam Ave Cambridge, MA",42.367421,-71.11368,
30651,4/23/12 11:00,Monday,Auto,Pedestrian,424,Massachusetts Ave,,"424 Massachusetts Ave Cambridge, MA",42.363399,-71.100652,
30691,5/3/12 7:44,Thursday,Auto,Pedestrian,,JFK St,MOUNT AUBURN ST," JFK St & MOUNT AUBURN ST Cambridge, MA",42.372566,-71.120145,
30705,5/5/12 13:54,Saturday,Auto,Pedestrian,1878,Massachusetts Ave,,"1878 Massachusetts Ave Cambridge, MA",42.388283,-71.119617,
30717,5/7/12 8:29,Monday,Auto,Pedestrian,185,Alewife Brook Pky,,"185 Alewife Brook Pky Cambridge, MA",42.390208,-71.142109,
30762,5/16/12 22:50,Wednesday,Auto,Pedestrian,,PROSPECT ST,Hampshire St," PROSPECT ST & Hampshire St Cambridge, MA",42.372202,-71.098975,
30764,5/17/12 13:05,Thursday,Auto,Pedestrian,,MOUNT AUBURN PL,PLYMPTON ST," MOUNT AUBURN PL & PLYMPTON ST Cambridge, MA",42.371412,-71.117053,
30789,5/21/12 12:59,Monday,Auto,Pedestrian,,Massachusetts Ave,Temple St," Massachusetts Ave & Temple St Cambridge, MA",42.365973,-71.104675,
30874,6/5/12 18:02,Tuesday,Auto,Pedestrian,,Massachusetts Ave,Brookline St," Massachusetts Ave & Brookline St Cambridge, MA",42.364014,-71.10139,
30882,6/8/12 9:04,Friday,Auto,Pedestrian,,Massachusetts Ave,Temple St," Massachusetts Ave & Temple St Cambridge, MA",42.365973,-71.104675,
30891,6/10/12 12:59,Sunday,Auto,Pedestrian,1414,Massachusetts Ave,,"1414 Massachusetts Ave Cambridge, MA",42.37379,-71.119267,
30914,6/13/12 11:15,Wednesday,Auto,Pedestrian,,HURLEY ST,FIRST ST," HURLEY ST & FIRST ST Cambridge, MA",42.367908,-71.077563,
30954,6/27/12 7:50,Wednesday,Auto,Pedestrian,,Massachusetts Ave,Washburn Ave," Massachusetts Ave & Washburn Ave Cambridge, MA",42.398824,-71.131961,
30976,7/2/12 8:07,,Auto,Pedestrian,157,Walden St,,"157 Walden St Cambridge, MA",42.38723,-71.128324,
30991,7/7/12 7:57,,Auto,Pedestrian,,Massachusetts Ave,Russell St," Massachusetts Ave & Russell St Cambridge, MA",42.391769,-71.12387,
31042,7/21/12 20:35,Saturday,Auto,Pedestrian,215,Alewife Brook Pky,,"215 Alewife Brook Pky Cambridge, MA",42.389388,-71.14282,
31046,7/24/12 14:29,Tuesday,Taxi,Pedestrian,,Cambridge St,Warren Pl," Cambridge St & Warren Pl Cambridge, MA",42.372102,-71.088276,
31100,8/4/12 11:46,Saturday,Auto,Pedestrian,,ELM ST,LINCOLN ST," ELM ST & LINCOLN ST Cambridge, MA",42.371664,-71.096164,
31112,8/7/12 14:19,Tuesday,Auto,Pedestrian,,MOUNT AUBURN ST,Brattle St," MOUNT AUBURN ST & Brattle St Cambridge, MA",42.375282,-71.145695,
31161,8/15/12 9:00,Wednesday,Auto,Pedestrian,300,Binney St,,"300 Binney St Cambridge, MA",42.366139,-71.087551,
31178,8/21/12 17:00,Tuesday,Auto,Pedestrian,,Broadway,Antrim St," Broadway & Antrim St Cambridge, MA",42.370399,-71.103764,
31180,8/22/12 4:05,Wednesday,Auto,Pedestrian,,Antrim St,Broadway," Antrim St & Broadway Cambridge, MA",42.370399,-71.103764,
31242,9/5/12 13:44,Wednesday,Taxi,Pedestrian,,Massachusetts Ave,ESSEX ST," Massachusetts Ave & ESSEX ST Cambridge, MA",42.36508,-71.10318,
31257,9/8/12 15:40,Saturday,Auto,Pedestrian,310,Rindge Ave,,"310 Rindge Ave Cambridge, MA",42.392737,-71.136915,
31277,9/13/12 8:19,Thursday,Auto,Pedestrian,,Concord Ave,GRISWOLD ST," Concord Ave & GRISWOLD ST Cambridge, MA",42.390977,-71.157285,
31299,9/18/12 10:15,Tuesday,Auto,Pedestrian,,Brookline St,Massachusetts Ave," Brookline St & Massachusetts Ave Cambridge, MA",42.364014,-71.10139,
31300,9/18/12 13:50,Tuesday,Auto,Pedestrian,659,Cambridge St,,"659 Cambridge St Cambridge, MA",42.372969,-71.094525,
31338,9/26/12 11:00,Wednesday,Auto,Pedestrian,35,Chalk St,,"35 Chalk St Cambridge, MA",42.362171,-71.110086,
31350,9/28/12 19:30,Friday,Auto,Pedestrian,,Binney St,FIRST ST," Binney St & FIRST ST Cambridge, MA",42.365142,-71.078206,
31354,9/29/12 15:55,Saturday,Auto,Pedestrian,,Gore St,SEVENTH ST," Gore St & SEVENTH ST Cambridge, MA",42.372557,-71.085138,
31385,10/5/12 16:18,Friday,MBTA Bus,Pedestrian,,University Pl,MOUNT AUBURN ST," University Pl & MOUNT AUBURN ST Cambridge, MA",42.373365,-71.122973,
31413,10/10/12 11:48,Wednesday,Auto,Pedestrian,425,Massachusetts Ave,,"425 Massachusetts Ave Cambridge, MA",42.363664,-71.100482,
31429,10/13/12 13:57,Saturday,Auto,Pedestrian,49,White St,Porter Cir,"49 White St Cambridge, MA",42.389703,-71.118304,
31436,10/16/12 12:10,Tuesday,Auto,Pedestrian,,Massachusetts Ave,DUDLEY ST," Massachusetts Ave & DUDLEY ST Cambridge, MA",42.396635,-71.129385,
31438,10/17/12 9:56,Wednesday,School Bus,Pedestrian,,Cambridge St,Columbia St," Cambridge St & Columbia St Cambridge, MA",42.372912,-71.094512,
31480,10/25/12 13:15,Thursday,Auto,Pedestrian,,Bishop Allen Dr,PROSPECT ST," Bishop Allen Dr & PROSPECT ST Cambridge, MA",42.366343,-71.10316,
31485,10/28/12 12:08,Sunday,Taxi,Pedestrian,,MAGAZINE ST,Lawrence St," MAGAZINE ST & Lawrence St Cambridge, MA",42.361939,-71.107973,
31506,10/31/12 17:35,Wednesday,Auto,Pedestrian,21,Walden St,,"21 Walden St Cambridge, MA",42.390613,-71.123973,
31507,10/31/12 20:48,Wednesday,Auto,Pedestrian,1256,Massachusetts Ave,,"1256 Massachusetts Ave Cambridge, MA",42.372549,-71.116292,
31511,11/1/12 15:30,Thursday,Auto,Pedestrian,,QUINCY ST,Cambridge St," QUINCY ST & Cambridge St Cambridge, MA",42.375474,-71.114321,
31513,11/1/12 21:36,Thursday,Auto,Pedestrian,2343,Massachusetts Ave,,"2343 Massachusetts Ave Cambridge, MA",42.396213,-71.128577,
31514,11/2/12 7:03,Friday,Auto,Pedestrian,,Massachusetts Ave,Vassar St," Massachusetts Ave & Vassar St Cambridge, MA",42.360154,-71.094882,
31545,11/8/12 12:30,Thursday,Auto,Pedestrian,,HARVARD ST,Columbia St," HARVARD ST & Columbia St Cambridge, MA",42.366993,-71.097861,
31555,11/11/12 15:20,Sunday,Auto,Pedestrian,545,Massachusetts Ave,,"545 Massachusetts Ave Cambridge, MA",42.36452,-71.102128,
31575,11/17/12 12:59,Saturday,Auto,Pedestrian,699,MOUNT AUBURN ST,,"699 MOUNT AUBURN ST Cambridge, MA",42.375057,-71.148745,
31623,11/30/12 11:26,Friday,Auto,Pedestrian,196,PROSPECT ST,,"196 PROSPECT ST Cambridge, MA",42.370164,-71.100282,
31625,11/30/12 14:48,Friday,Auto,Pedestrian,,MASON ST,Brattle St," MASON ST & Brattle St Cambridge, MA",42.375986,-71.124614,
31634,12/3/12 8:35,Saturday,Auto,Pedestrian,,FIELD ST,Alpine Pl," FIELD ST & Alpine Pl Cambridge, MA",42.3862,-71.136549,
31636,12/4/12 0:00,Tuesday,Auto,Pedestrian,,Cambridge St,FIRST ST," Cambridge St & FIRST ST Cambridge, MA",42.370636,-71.076934,
31638,12/4/12 21:46,Tuesday,Auto,Pedestrian,,Cambridge St,FIRST ST," Cambridge St & FIRST ST Cambridge, MA",42.370636,-71.076934,
31645,12/4/12 12:30,,Auto,Pedestrian,211,Massachusetts Ave,,"211 Massachusetts Ave Cambridge, MA",42.361422,-71.096684,
31647,12/6/12 8:15,,Bicycle,Pedestrian,,Vassar St,Massachusetts Ave," Vassar St & Massachusetts Ave Cambridge, MA",42.360154,-71.094882,
31650,12/6/12 14:19,,Auto,Pedestrian,200,MAIN ST,,"200 MAIN ST Cambridge, MA",42.36278,-71.091821,
31657,12/7/12 19:41,,Auto,Pedestrian,65,FIFTH ST,,"65 FIFTH ST Cambridge, MA",42.371025,-71.083334,
31676,12/8/12 19:40,Saturday,Auto,Pedestrian,,GARDEN ST,Chauncy Ln," GARDEN ST & Chauncy Ln Cambridge, MA",42.378966,-71.124162,
31684,12/8/12 19:15,Saturday,Auto,Pedestrian,,Chauncy St,GARDEN ST," Chauncy St & GARDEN ST Cambridge, MA",42.378969,-71.124176,
31695,12/17/12 16:28,,Auto,Pedestrian,,MOUNT AUBURN ST,University Rd," MOUNT AUBURN ST & University Rd Cambridge, MA",42.373363,-71.12296,
28593,1/7/13 14:49,Monday,Auto,Pedestrian,,Walden St,Richdale Ave," Walden St & Richdale Ave Cambridge, MA",42.388942,-71.125,
28602,1/8/13 13:12,Tuesday,Auto,Pedestrian,200,Alewife Brook Pky,,"200 Alewife Brook Pky Cambridge, MA",42.389764,-71.142318,
28611,1/12/13 19:25,Saturday,Auto,Pedestrian,,Broadway,Galileo Galilei Way," Broadway & Galileo Galilei Way Cambridge, MA",42.364812,-71.089386,
28623,1/17/13 11:57,Thursday,School Bus,Pedestrian,119,Windsor St,,"119 Windsor St Cambridge, MA",42.364486,-71.096737,
28628,1/18/13 12:40,Friday,Auto,Pedestrian,,PROSPECT ST,Bishop Allen Dr," PROSPECT ST & Bishop Allen Dr Cambridge, MA",42.366343,-71.10316,
28650,1/25/13 15:00,Friday,Auto,Pedestrian,,Massachusetts Ave,DAY ST," Massachusetts Ave & DAY ST Cambridge, MA",42.393961,-71.126382,
28659,1/27/13 1:44,Sunday,Auto,Pedestrian,,Massachusetts Ave,DOUGLASS ST," Massachusetts Ave & DOUGLASS ST Cambridge, MA",42.363897,-71.10119,
28666,1/30/13 18:45,Wednesday,Auto,Pedestrian,,GARDEN ST,Appian Way," GARDEN ST & Appian Way Cambridge, MA",42.375974,-71.120983,
28673,1/31/13 6:53,Thursday,Auto,Pedestrian,266,Massachusetts Ave,,"266 Massachusetts Ave Cambridge, MA",42.361697,-71.098077,
28677,1/31/13 1:50,Thursday,Auto,Pedestrian,,Massachusetts Ave,DUNSTER ST," Massachusetts Ave & DUNSTER ST Cambridge, MA",42.373333,-71.118581,
28678,1/31/13 7:15,Thursday,Auto,Pedestrian,14,Cambridge St,Binney St,"14 Cambridge St Cambridge, MA",42.372861,-71.09455,
28681,1/31/13 14:00,Thursday,Auto,Pedestrian,,Galileo Galilei Way,Broadway," Galileo Galilei Way & Broadway Cambridge, MA",42.364802,-71.089413,
28682,1/31/13 22:27,Thursday,Taxi,Pedestrian,,PLYMPTON ST,MILL ST," PLYMPTON ST & MILL ST Cambridge, MA",42.37025,-71.117751,
28683,2/1/13 9:00,Saturday,Auto,Pedestrian,,Brookline St,ERIE ST," Brookline St & ERIE ST Cambridge, MA",42.359144,-71.106149,
28688,2/3/13 17:29,Sunday,Auto,Pedestrian,,OXFORD AVE,Wendell St," OXFORD AVE & Wendell St Cambridge, MA",42.381554,-71.116331,
28747,2/14/13 20:45,Thursday,Auto,Pedestrian,,PEARL ST,Allston St," PEARL ST & Allston St Cambridge, MA",42.359,-71.108813,
28754,2/15/13 14:42,Friday,Auto,Pedestrian,,Albany St,MASSACHUSETTS  AVE BRDG," Albany St & MASSACHUSETTS  AVE BRDG Cambridge, MA",42.360828,-71.096012,
28776,2/20/13 16:48,Wednesday,Auto,Pedestrian,,Broadway,Portland St," Broadway & Portland St Cambridge, MA",42.365792,-71.09207,
28783,2/21/13 17:07,Thursday,Auto,Pedestrian,,GREEN ST,Sidney St," GREEN ST & Sidney St Cambridge, MA",42.362384,-71.100192,
28804,2/26/13 13:19,Tuesday,Taxi,Pedestrian,,Massachusetts Ave,Inman St," Massachusetts Ave & Inman St Cambridge, MA",42.36659,-71.10568,
29181,5/24/13 16:59,Friday,Auto,Pedestrian,260,GREEN ST,,"260 GREEN ST Cambridge, MA",42.364317,-71.103566,
28848,3/7/13 16:00,Thursday,Auto,Pedestrian,,Massachusetts Ave,Vassar St," Massachusetts Ave & Vassar St Cambridge, MA",42.360154,-71.094882,
28871,3/13/13 7:34,Wednesday,Auto,Pedestrian,,Rindge Ave,MIDDLESEX ST," Rindge Ave & MIDDLESEX ST Cambridge, MA",42.393382,-71.131032,
28872,3/13/13 12:49,Wednesday,Auto,Pedestrian,,Broadway,LEE ST," Broadway & LEE ST Cambridge, MA",42.370823,-71.104839,
28906,3/20/13 20:00,Wednesday,Auto,Pedestrian,,HARVARD ST,Norfolk St," HARVARD ST & Norfolk St Cambridge, MA",42.367566,-71.099659,
28922,3/28/13 12:20,Thursday,Auto,Pedestrian,,River St,Auburn St," River St & Auburn St Cambridge, MA",42.364574,-71.106688,
28931,3/30/13 9:56,Saturday,Auto,Pedestrian,199,Alewife Brook Pky,,"199 Alewife Brook Pky Cambridge, MA",42.390054,-71.142243,
28932,3/30/13 18:59,Saturday,Auto,Pedestrian,,Rindge Ave,Haskell St," Rindge Ave & Haskell St Cambridge, MA",42.392608,-71.127547,
28935,4/2/13 11:25,Tuesday,Taxi,Pedestrian,1400,Massachusetts Ave,,"1400 Massachusetts Ave Cambridge, MA",42.373643,-71.119357,
28936,4/2/13 16:50,Tuesday,Auto,Pedestrian,,MAGAZINE ST,Chalk St," MAGAZINE ST & Chalk St Cambridge, MA",42.361261,-71.108719,
28961,4/5/13 13:05,Friday,Auto,Pedestrian,,HURON AVE,GARDEN ST," HURON AVE & GARDEN ST Cambridge, MA",42.383859,-71.129311,
28967,4/6/13 2:16,Saturday,Auto,Pedestrian,,PROSPECT ST,Hampshire St," PROSPECT ST & Hampshire St Cambridge, MA",42.372202,-71.098975,
28979,4/11/13 8:49,Thursday,Auto,Pedestrian,,Massachusetts Ave,Norfolk St," Massachusetts Ave & Norfolk St Cambridge, MA",42.364424,-71.102083,
28980,4/11/13 18:30,Thursday,Auto,Pedestrian,,PARK AVE,HIGH ST," PARK AVE & HIGH ST Cambridge, MA",42.37809,-71.148781,
28981,4/11/13 22:54,Thursday,Truck,Pedestrian,1400,Massachusetts Ave,,"1400 Massachusetts Ave Cambridge, MA",42.373643,-71.119357,
28986,4/12/13 16:24,Friday,Auto,Pedestrian,,DUNSTER ST,MOUNT AUBURN ST," DUNSTER ST & MOUNT AUBURN ST Cambridge, MA",42.372252,-71.119339,
28984,4/13/13 17:39,Saturday,Auto,Pedestrian,,Concord Ave,MOULTON ST," Concord Ave & MOULTON ST Cambridge, MA",42.389615,-71.148119,
29006,4/18/13 7:44,Thursday,Auto,Pedestrian,,Hampshire St,Tremont St," Hampshire St & Tremont St Cambridge, MA",42.371501,-71.098121,
29025,4/23/13 21:00,Tuesday,Auto,Pedestrian,,MAIN ST,Columbia St," MAIN ST & Columbia St Cambridge, MA",42.363446,-71.0998,
29080,5/4/13 13:19,Saturday,Motorcycle,Pedestrian,1256,Massachusetts Ave,,"1256 Massachusetts Ave Cambridge, MA",42.372549,-71.116292,
29088,5/6/13 19:59,Monday,Auto,Pedestrian,,MAIN ST,Sidney St," MAIN ST & Sidney St Cambridge, MA",42.363415,-71.099417,
29091,5/7/13 15:24,Tuesday,Auto,Pedestrian,,Rindge Ave,Yerxa Rd," Rindge Ave & Yerxa Rd Cambridge, MA",42.392997,-71.129116,
29119,5/14/13 12:37,Thursday,Auto,Pedestrian,,Portland St,MAIN ST," Portland St & MAIN ST Cambridge, MA",42.362974,-71.093634,
29126,5/14/13 17:46,Tuesday,Bicycle,Pedestrian,1401,Massachusetts Ave,,"1401 Massachusetts Ave Cambridge, MA",42.369202,-71.110689,
29142,5/16/13 16:48,Thursday,Auto,Pedestrian,,ROCKINGHAM ST,GRANITE ST," ROCKINGHAM ST & GRANITE ST Cambridge, MA",42.355591,-71.111313,
29145,5/17/13 15:14,Friday,Auto,Pedestrian,,Broadway,Third St," Broadway & Third St Cambridge, MA",42.362667,-71.084325,
29166,5/22/13 6:45,Wednesday,Auto,Pedestrian,,Massachusetts Ave,Windsor St," Massachusetts Ave & Windsor St Cambridge, MA",42.361389,-71.096953,
29169,5/22/13 11:55,Wednesday,Auto,Pedestrian,,PLEASANT ST,Chestnut St," PLEASANT ST & Chestnut St Cambridge, MA",42.359411,-71.113571,
29179,5/23/13 22:05,Thursday,Auto,Pedestrian,,Massachusetts Ave,PLYMOUTH ST," Massachusetts Ave & PLYMOUTH ST Cambridge, MA",42.372694,-71.116418,
29254,6/7/13 18:59,Friday,Auto,Pedestrian,465,Cambridge St,,"465 Cambridge St Cambridge, MA",42.371646,-71.083984,
29266,6/11/13 12:49,Tuesday,Auto,Pedestrian,55,FIRST ST,,"55 FIRST ST Cambridge, MA",42.369223,-71.077605,
29318,6/23/13 18:45,Sunday,Auto,Pedestrian,11,Walden Square Rd,,"11 Walden Square Rd Cambridge, MA",42.389383,-71.131073,
29351,7/2/13 14:19,Tuesday,Auto,Pedestrian,,Massachusetts Ave,SOMERVILLE AVE," Massachusetts Ave & SOMERVILLE AVE Cambridge, MA",42.388965,-71.119695,
29361,7/5/13 6:00,Friday,Auto,Pedestrian,,Brattle St,PALMER ST," Brattle St & PALMER ST Cambridge, MA",42.373371,-71.119913,
29436,7/26/13 16:32,Friday,Auto,Pedestrian,,DUNSTER ST,MOUNT AUBURN ST," DUNSTER ST & MOUNT AUBURN ST Cambridge, MA",42.372252,-71.119339,
